date_google,rating_democrats,rating_republicans
,-2.0,1.0
2024-07-08T13:54:29,1.0,-1.0
2024-11-06T09:58:24.327000,-1.0,0.0
2024-07-04T18:24:31,-3.0,0.0
2024-07-04T18:26:18,-3.0,1.0
2024-07-04T16:28:41,-1.0,1.0
2024-07-04T16:40:32,-1.0,0.0
2024-07-04T08:07:19,0.0,0.0
2024-07-05T04:35:39.608000,-3.0,1.0
2024-07-13T23:47:41,-4.0,4.0
,1.0,0.0
2024-07-08T16:33:32,4.0,-4.0
,-2.0,3.0
2024-07-04T11:50:24.285000,3.0,0.0
2024-07-05T03:51:12.545000,2.0,-2.0
2024-07-03T15:34:25,1.0,2.0
2024-07-04T10:16:42,4.0,-4.0
2024-07-05T08:58:41,0.0,0.0
2024-07-05T17:04:24,0.0,0.0
2024-07-09T16:40:06,0.0,0.0
2024-07-05T18:05:27,4.0,-2.0
2024-07-04T23:56:50.389000,2.0,0.0
2024-07-05T04:30:36,1.0,0.0
,-2.0,1.0
2024-07-04T23:56:11,3.0,-3.0
